utc_timestamp,DE_wind_generation_actual,DE_solar_generation_actual,v1,v2,v_50m,h1,h2,z0,SWTDN,SWGDN,T,rho,p,temp,humidity,dew,windspeed,winddir,pressure,visibility,cloudcover,conditions,skyType,total_renewable_generation
2016-04-23 06:00:00+00:00,5169.0,4196.0,3.0175781249999996,4.0971875,4.917851562499999,2.6875,10.6875,0.20097449700807601,477.4306640625,164.998046875,278.99290466308594,1.2253508567810059,98058.40625,4.1,80.82,1.1,13.2,299.0,,10.0,0.0,Clear,0.0,9365.0
2016-04-23 07:00:00+00:00,5927.0,6884.0,3.226953124999999,4.339726562500001,5.0987890625,2.6875,10.6875,0.20101587473862992,670.7578125,270.8724365234375,279.8616180419922,1.2227916717529297,98052.640625,5.2,80.14,2.1,11.7,290.0,,10.0,14.0,Clear,0.0,12811.0
2016-04-23 08:00:00+00:00,6340.0,9034.0,3.3470703124999996,4.484492187499997,5.196445312500002,2.6875,10.6875,0.20105891138786092,833.8447265625,372.091064453125,280.6216278076172,1.2204840183258059,98042.1328125,7.0,71.23,2.1,13.2,289.0,,10.0,88.9,Partially cloudy,2.0,15374.0
2016-04-23 09:00:00+00:00,6727.0,10591.0,3.396367187500001,4.534804687499998,5.204687499999999,2.6875,10.6875,0.20111003703920005,955.5791015625,446.104736328125,281.2428894042969,1.2184536457061768,98025.0390625,7.1,65.66,1.1,15.3,271.0,,10.0,88.9,Partially cloudy,2.0,17318.0
2016-04-23 10:00:00+00:00,7250.0,11327.0,3.4226562499999997,4.571914062499998,5.229804687499998,2.6875,10.6875,0.2011540285266733,1027.71484375,484.416015625,281.7129821777344,1.2165286540985107,97994.09375,8.1,57.35,0.1,17.0,279.0,,10.0,88.9,Partially cloudy,2.0,18577.0
2016-04-23 11:00:00+00:00,8037.0,11007.0,3.5025000000000013,4.700820312500002,5.390117187499999,2.6875,10.6875,0.20119988661741672,1045.345703125,478.881591796875,281.95037841796875,1.215024709701538,97953.0546875,9.0,41.67,-3.4,16.8,297.0,,10.0,88.9,Partially cloudy,2.0,19044.0
2016-04-23 12:00:00+00:00,9117.0,9934.0,3.6464843749999982,4.933124999999999,5.696289062500002,2.6875,10.6875,0.20124977966355573,1007.2958984375,442.369140625,281.963623046875,1.2141815423965456,97918.4765625,9.9,41.03,-2.8,13.9,270.0,,10.0,88.9,Partially cloudy,2.0,19051.0
2016-04-23 13:00:00+00:00,10192.0,8648.0,3.8194140625000013,5.218007812500002,6.091640625000003,2.6875,10.6875,0.20128982653460525,916.189453125,382.65673828125,281.7740783691406,1.2139718532562256,97888.4375,9.1,43.48,-2.7,17.7,288.0,,10.0,88.9,Partially cloudy,2.0,18840.0
2016-04-23 14:00:00+00:00,11379.0,7119.0,3.976015625,5.491757812500003,6.507695312499998,2.69140625,10.69140625,0.20133768021679543,778.2685546875,310.2747802734375,281.4034118652344,1.2144110202789307,97865.796875,10.7,36.56,-3.6,18.7,269.0,,10.0,24.0,Partially cloudy,2.0,18498.0
2016-04-23 15:00:00+00:00,12826.0,5015.0,4.059999999999999,5.676406249999999,6.879335937499998,2.69140625,10.69140625,0.2013790791349379,602.921875,224.0499267578125,280.8283386230469,1.2156873941421509,97859.7109375,10.0,34.98,-4.8,18.8,288.0,,10.0,0.0,Clear,0.0,17841.0
2016-04-23 16:00:00+00:00,13298.0,2805.0,3.9808984375000014,5.640585937500002,7.080273437499999,2.69140625,10.69140625,0.20142670487592795,402.14599609375,132.9324951171875,280.0580139160156,1.217808723449707,97868.9375,9.1,34.9,-5.6,18.8,291.0,,10.0,0.0,Clear,0.0,16103.0
2016-04-23 17:00:00+00:00,11684.0,977.0,3.5041406250000016,5.0518359375,6.872304687499999,2.69140625,10.69140625,0.2014697988013836,189.6417236328125,53.21815490722656,279.0411071777344,1.220670223236084,97894.84375,9.1,37.23,-4.8,15.8,289.0,,10.0,25.2,Partially cloudy,2.0,12661.0
2016-04-23 18:00:00+00:00,9784.0,85.0,3.024804687499999,4.479492187500001,6.805273437499998,2.69140625,10.69140625,0.2015147590971651,21.22129785881043,4.3739075236953795,277.7967224121094,1.2242507934570312,97934.578125,8.0,42.92,-3.9,24.7,288.0,,10.0,46.1,Partially cloudy,2.0,9869.0
2016-04-23 19:00:00+00:00,8750.0,0.0,2.933164062499999,4.373671875000002,6.802617187500002,2.69140625,10.69140625,0.2015609531625273,0.0,0.0,277.02142333984375,1.2279608249664307,97979.234375,6.9,53.01,-2.0,22.3,316.0,,10.0,82.0,Partially cloudy,2.0,8750.0
2016-04-23 20:00:00+00:00,8136.0,0.0,2.9378125000000006,4.3842578125,6.811210937500004,2.69140625,10.69140625,0.20160111412025117,0.0,0.0,276.4267272949219,1.2311813831329348,98002.4453125,5.9,61.76,-0.9,18.2,289.0,,10.0,82.0,Partially cloudy,2.0,8136.0
2016-04-23 21:00:00+00:00,8220.0,0.0,2.9194140625000005,4.368828125,6.779257812499996,2.6953125,10.6953125,0.20164784439458572,0.0,0.0,275.8663024902344,1.2339832782745361,98015.7109375,5.9,61.76,-0.9,15.0,282.0,,10.0,14.0,Clear,0.0,8220.0
2016-04-23 22:00:00+00:00,8896.0,0.0,2.8763281249999992,4.320585937499999,6.725937500000002,2.6953125,10.6953125,0.2016980145088496,0.0,0.0,275.34097290039057,1.2365140914916992,98028.4921875,4.9,66.91,-0.7,11.4,291.0,,10.0,11.9,Clear,0.0,8896.0
2016-04-23 23:00:00+00:00,9485.0,0.0,2.87828125,4.325742187499999,6.6855078125,2.6953125,10.6953125,0.20173620571841866,0.0,0.0,274.89874267578125,1.2387194633483887,98036.4609375,3.7,76.72,0.0,10.5,287.0,,10.0,0.0,Clear,0.0,9485.0
2016-04-24 00:00:00+00:00,9604.0,0.0,2.9011328125,4.343007812500001,6.608164062500001,2.6953125,10.6953125,0.20178891415247335,0.0,0.0,274.5342407226562,1.2405669689178467,98030.921875,2.9,81.07,0.0,15.2,289.0,,10.0,0.0,Clear,0.0,9604.0
2016-04-24 01:00:00+00:00,9466.0,0.0,2.9212890624999996,4.346289062500001,6.481679687499999,2.6953125,10.6953125,0.20182815100525886,0.0,0.0,274.2489471435547,1.2421454191207886,98019.5546875,2.9,81.49,0.0,10.4,280.0,,10.0,0.0,Clear,0.0,9466.0
2016-04-24 02:00:00+00:00,8816.0,0.0,2.9211718749999998,4.325429687500001,6.342499999999999,2.6953125,10.6953125,0.2018706048788772,0.0,0.0,274.0129089355469,1.2434532642364502,98012.5078125,2.0,86.6,0.0,8.7,288.0,,10.0,0.0,Clear,0.0,8816.0
2016-04-24 03:00:00+00:00,8377.0,3.0,2.911796874999999,4.288242187499998,6.159882812500001,2.6953125,10.6953125,0.20191498565918664,0.25871786091465765,0.03784883735352196,273.8500671386718,1.2445015907287598,98006.7578125,1.1,86.97,-0.9,11.3,274.0,,10.0,36.2,Partially cloudy,2.0,8380.0
2016-04-24 04:00:00+00:00,7519.0,478.0,2.971718749999999,4.3276562499999995,5.970624999999998,2.6953125,10.6953125,0.20195567234839018,69.12808227539062,15.739604949951172,273.86811828613287,1.2452672719955447,98005.125,2.0,86.6,0.0,14.9,278.0,,10.0,90.5,Overcast,1.0,7997.0
2016-04-24 05:00:00+00:00,6601.0,2946.0,3.2795703125000024,4.635312499999999,5.810078124999996,2.6953125,10.6953125,0.20200159632997838,272.73046875,90.0166015625,274.529541015625,1.244624137878418,98011.390625,2.0,86.6,0.0,18.4,279.0,,10.0,56.5,Partially cloudy,2.0,9547.0
2016-04-24 06:00:00+00:00,6486.0,6718.0,3.536210937499999,4.9452734375000045,6.0385937499999995,2.6953125,10.6953125,0.202035117424316,482.7666015625,211.1214599609375,275.5301361083984,1.2417244911193848,98021.2890625,3.1,80.67,0.1,17.4,262.0,,10.0,55.7,Partially cloudy,2.0,13204.0
2016-04-24 07:00:00+00:00,6827.0,10662.0,3.7385937500000015,5.2113281250000005,6.283398437499997,2.6953125,10.6953125,0.2020815811082457,675.7294921875,313.111083984375,276.4446563720703,1.2388615608215332,98019.5390625,4.1,71.03,-0.7,20.5,269.0,,10.0,50.0,Partially cloudy,2.0,17489.0
2016-04-24 08:00:00+00:00,7741.0,12925.0,3.8249218749999963,5.315859375000001,6.356171874999996,2.6953125,10.6953125,0.2021215127278424,838.5185546875,392.196044921875,277.1781921386719,1.2366721630096436,98019.28125,5.1,70.11,0.1,17.4,252.0,,10.0,50.0,Partially cloudy,2.0,20666.0
2016-04-24 09:00:00+00:00,7998.0,13870.0,3.8755859375000035,5.382343749999997,6.410390625000004,2.6953125,10.6953125,0.20216355518965656,960.0380859375,441.690673828125,277.77789306640625,1.2345926761627197,98011.9296875,5.9,65.71,-0.1,25.7,268.0,,10.0,83.3,Partially cloudy,2.0,21868.0
2016-04-24 10:00:00+00:00,8004.0,15009.0,3.8951562499999977,5.414804687499997,6.442382812500003,2.6953125,10.6953125,0.20220312685313502,1032.048828125,467.1318359375,278.25572204589844,1.2325003147125244,97993.046875,4.9,66.54,-0.9,22.6,286.0,,10.0,86.0,Partially cloudy,2.0,23013.0
2016-04-24 11:00:00+00:00,7696.0,16519.0,3.8937890624999976,5.421914062500001,6.458437499999998,2.6953125,10.6953125,0.20224230805945353,1049.62890625,461.55224609375,278.5596008300781,1.2307341098785403,97970.3046875,5.1,65.89,-0.8,21.0,291.0,,10.0,83.3,Partially cloudy,2.0,24215.0
2016-04-24 12:00:00+00:00,8039.0,16381.0,3.865429687500001,5.3967578125,6.451484374999996,2.69921875,10.69921875,0.20229110423997554,1011.6455078125,429.27392578125,278.705825805664,1.2294526100158694,97957.8359375,7.1,49.8,-2.7,16.0,298.0,,10.0,30.6,Partially cloudy,2.0,24420.0
2016-04-24 13:00:00+00:00,8342.0,14887.0,3.8137499999999993,5.3474218749999975,6.427890625000003,2.69921875,10.69921875,0.2023292262998666,920.7041015625,372.968505859375,278.6871185302734,1.2286403179168701,97947.9296875,7.1,46.0,-3.7,12.2,285.0,,10.0,50.0,Partially cloudy,2.0,23229.0
2016-04-24 14:00:00+00:00,8198.0,12034.0,3.716015624999998,5.243789062500006,6.364062500000001,2.69921875,10.69921875,0.20237666787090802,783.0234375,294.202392578125,278.4921722412109,1.228325605392456,97940.6015625,7.9,42.9,-3.9,19.8,265.0,,10.0,50.0,Partially cloudy,2.0,20232.0
2016-04-24 15:00:00+00:00,8318.0,8156.0,3.5317578125,5.024960937499999,6.188789062500004,2.69921875,10.69921875,0.20241546397534194,608.00390625,210.490478515625,278.16108703613276,1.2285449504852297,97939.7890625,8.8,37.76,-4.9,18.7,312.0,,10.0,50.0,Partially cloudy,2.0,16474.0
2016-04-24 16:00:00+00:00,7337.0,4510.0,3.1615234375,4.543320312500001,5.741015625,2.69921875,10.69921875,0.20245860493247392,407.58984375,125.4844970703125,277.68499755859375,1.2293813228607178,97946.5390625,6.1,59.86,-1.1,19.2,305.0,,10.0,50.0,Partially cloudy,2.0,11847.0
2016-04-24 17:00:00+00:00,6422.0,1440.0,2.3607812499999983,3.4896484375000014,5.051367187500001,2.69921875,10.69921875,0.2025060746769327,195.4708251953125,51.000457763671875,276.9241333007812,1.2308313846588135,97959.2421875,6.0,61.46,-0.9,12.4,279.0,,10.0,48.6,Partially cloudy,2.0,7862.0
2016-04-24 18:00:00+00:00,5845.0,104.0,1.864804687500001,2.9484375,4.988476562499996,2.69921875,10.69921875,0.2025408681900558,23.78080075619937,4.636309890425764,275.8183288574219,1.2327091693878172,97978.5625,4.9,62.16,-1.8,12.6,256.0,,10.0,29.1,Partially cloudy,2.0,5949.0
2016-04-24 19:00:00+00:00,5177.0,0.0,1.8787499999999993,2.995703125000002,5.144492187499995,2.69921875,10.69921875,0.20258453185209646,0.0,0.0,275.318603515625,1.2345702648162842,97998.8515625,4.8,62.48,-1.8,9.5,256.0,,10.0,50.0,Partially cloudy,2.0,5177.0
2016-04-24 20:00:00+00:00,4888.0,0.0,1.94390625,3.0876562500000015,5.268359375,2.69921875,10.69921875,0.2026243889658872,0.0,0.0,274.9781951904297,1.236187219619751,97997.609375,2.1,85.26,-0.1,8.0,267.0,,10.0,27.0,Partially cloudy,2.0,4888.0
2016-04-24 21:00:00+00:00,5380.0,0.0,2.022031250000001,3.2003515624999985,5.367031250000005,2.69921875,10.69921875,0.20267073413839398,0.0,0.0,274.6249389648437,1.2378675937652588,97989.3515625,2.0,91.16,0.7,6.2,276.0,,10.0,50.0,Partially cloudy,2.0,5380.0
2016-04-24 22:00:00+00:00,5458.0,0.0,2.1070312500000004,3.3130078125000004,5.448281250000003,2.69921875,10.69921875,0.20271347322983502,0.0,0.0,274.28211975097656,1.2396018505096436,97980.953125,2.0,87.52,0.1,11.2,283.0,,10.0,88.9,Partially cloudy,2.0,5458.0
2016-04-24 23:00:00+00:00,5686.0,0.0,2.1991015624999997,3.4251562499999997,5.503046875,2.69921875,10.69921875,0.20275381276866256,0.0,0.0,273.98236083984375,1.2411454916000366,97963.75,1.9,88.43,0.1,14.6,276.0,,10.0,88.9,Partially cloudy,2.0,5686.0
2016-04-25 00:00:00+00:00,5725.0,0.0,2.3083203125000002,3.5440625000000043,5.5047656250000045,2.69921875,10.69921875,0.2027981665404468,0.0,0.0,273.7402648925781,1.2424964904785156,97934.109375,2.0,87.52,0.1,11.0,269.0,,10.0,88.9,Partially cloudy,2.0,5725.0
2016-04-25 01:00:00+00:00,5986.0,0.0,2.4606249999999985,3.7144921874999994,5.518945312499998,2.69921875,10.69921875,0.20284616993257032,0.0,0.0,273.5750427246094,1.2437490224838257,97912.890625,2.0,93.09,1.0,9.5,282.0,,10.0,88.9,Partially cloudy,2.0,5986.0
2016-04-25 02:00:00+00:00,6261.0,0.0,2.580078124999999,3.8430859375000006,5.552539062500005,2.69921875,10.69921875,0.20289455982378968,0.0,0.0,273.4310607910156,1.24491548538208,97904.203125,2.0,93.09,1.0,9.5,281.0,,10.0,88.9,Partially cloudy,2.0,6261.0
2016-04-25 03:00:00+00:00,6439.0,5.0,2.6992968749999995,3.9751562500000013,5.627187499999998,2.69921875,10.69921875,0.20294237927913628,0.3934405104351981,0.04911630231072195,273.334716796875,1.2456340789794922,97893.3671875,2.0,93.09,1.0,14.9,269.0,,10.0,88.9,Partially cloudy,2.0,6444.0
2016-04-25 04:00:00+00:00,7282.0,434.0,2.8665234375000006,4.1578124999999995,5.698281250000002,2.69921875,10.69921875,0.20299558480684254,73.8352981209755,15.569540977478027,273.4281921386719,1.2458910942077637,97886.328125,2.0,87.52,0.1,13.5,278.0,,9.1,88.9,Partially cloudy,2.0,7716.0
2016-04-25 05:00:00+00:00,7169.0,2546.0,3.285078125000002,4.639687500000003,5.808867187500002,2.69921875,10.69921875,0.2030436927400956,278.38427734375,80.08975219726562,274.09767150878906,1.2449417114257812,97888.25,2.0,87.52,0.1,16.7,270.0,,9.1,88.9,Partially cloudy,2.0,9715.0
2016-04-25 06:00:00+00:00,7142.0,5680.0,3.6460937499999995,5.106406250000002,6.215273437500003,2.69921875,10.69921875,0.20308475126000758,488.01953125,189.86056518554688,275.0490264892578,1.242021083831787,97888.78125,1.2,92.56,0.1,15.3,250.0,,8.3,88.9,Partially cloudy,2.0,12822.0
2016-04-25 07:00:00+00:00,8423.0,9199.0,3.9551953125000017,5.530078124999995,6.684101562500003,2.69921875,10.69921875,0.2031303907227766,680.6298828125,300.4561767578125,276.0937194824218,1.2382051944732666,97867.0859375,2.1,86.16,0.1,18.1,259.0,,8.3,88.9,Partially cloudy,2.0,17622.0
2016-04-25 08:00:00+00:00,10037.0,12131.0,4.116875000000001,5.7532031250000015,6.929218750000007,2.69921875,10.69921875,0.2031682068438272,843.107421875,370.485595703125,276.92575073242193,1.2350678443908691,97842.34375,3.2,85.38,1.0,16.4,258.0,,10.0,86.0,Partially cloudy,2.0,22168.0
2016-04-25 09:00:00+00:00,11203.0,13896.0,4.202695312500003,5.873828125,7.071054687500004,2.69921875,10.69921875,0.20320836803404063,964.4091796875,423.0003662109375,277.6068267822265,1.232330322265625,97809.4375,6.0,69.21,0.8,15.0,261.0,,10.0,88.9,Partially cloudy,2.0,25099.0
2016-04-25 10:00:00+00:00,12051.0,14741.0,4.281210937500002,5.994648437499998,7.232382812500005,2.69921875,10.69921875,0.2032455848472523,1036.2685546875,442.61572265625,278.1065673828125,1.2297756671905518,97764.1171875,6.9,57.33,-1.0,18.5,261.0,,10.0,88.9,Partially cloudy,2.0,26792.0
2016-04-25 11:00:00+00:00,11935.0,14771.0,4.382578125000001,6.160429687499994,7.470820312500003,2.69921875,10.69921875,0.20328624988331967,1053.8232421875,428.110107421875,278.4225158691406,1.2275686264038086,97717.5546875,7.9,50.55,-1.8,16.7,255.0,,10.0,88.9,Partially cloudy,2.0,26706.0
2016-04-25 12:00:00+00:00,12599.0,14224.0,4.477382812499998,6.321367187500001,7.716835937499999,2.69921875,10.69921875,0.2033297677929795,1015.9140625,390.2254638671875,278.58691406249994,1.225722312927246,97672.0390625,7.7,54.66,-0.9,16.8,261.0,,10.0,83.3,Partially cloudy,2.0,26823.0
2016-04-25 13:00:00+00:00,12987.0,12133.0,4.522773437500002,6.418124999999994,7.902578124999998,2.703125,10.703125,0.20337292434970777,925.1318359375,326.9393310546875,278.61279296875006,1.224101185798645,97620.6328125,5.1,78.48,1.7,11.7,179.0,,10.0,55.7,Partially cloudy,2.0,25120.0
2016-04-25 14:00:00+00:00,12933.0,9592.0,4.5054296875,6.422265624999998,7.985234375000002,2.703125,10.703125,0.20342405395905416,787.7041015625,259.0081787109375,278.53981018066406,1.2226808071136475,97562.328125,8.1,59.75,0.8,15.9,156.0,,10.0,50.0,Partially cloudy,2.0,22525.0
2016-04-25 15:00:00+00:00,12770.0,6368.0,4.370312500000001,6.253242187499995,7.8669531250000055,2.703125,10.703125,0.20345947332299374,612.994140625,185.91131591796875,278.35342407226557,1.2216844558715818,97507.2265625,9.8,41.45,-2.7,19.7,231.0,,10.0,55.7,Partially cloudy,2.0,19138.0
2016-04-25 16:00:00+00:00,12497.0,3093.0,4.014531249999997,5.770703124999996,7.422656250000005,2.703125,10.703125,0.20350548950563052,412.96533203125,109.78228759765625,277.98820495605463,1.2213703393936157,97457.4765625,9.9,34.56,-5.1,22.9,226.0,,10.0,46.1,Partially cloudy,2.0,15590.0
2016-04-25 17:00:00+00:00,11983.0,873.0,3.431875000000002,5.008515625000002,7.098749999999999,2.703125,10.703125,0.20354570098749036,201.23107933998108,41.34385681152344,277.2433319091797,1.2217998504638672,97411.03125,9.0,37.0,-4.9,23.0,226.0,,10.0,0.0,Clear,0.0,12856.0
2016-04-25 18:00:00+00:00,12020.0,47.0,3.2879687499999974,4.901015625,7.394687500000002,2.703125,10.703125,0.20358113082573936,26.494621872952848,2.9815429523587227,276.3347625732422,1.2228868007659912,97374.796875,7.9,39.79,-4.9,18.1,200.0,,10.0,0.0,Clear,0.0,12067.0
